Lat(y);Long(x);PGA
-24.500;17.250;0.0295
-24.250;17.250;0.0292
-24.000;17.250;0.0266
-23.750;17.250;0.0333
-23.500;17.250;0.0311
-23.250;17.250;0.0235
-23.000;17.250;0.0192
-22.750;17.250;0.0181
-22.500;17.250;0.0169
-22.250;17.250;0.0153
-22.000;17.250;0.0130
-21.750;17.250;0.0100
-21.500;17.250;0.0100
-21.250;17.250;0.0001
-21.000;17.250;0.0001
-35.000;17.500;0.0970
-34.750;17.500;0.1088
-34.500;17.500;0.1084
-34.250;17.500;0.0959
-34.000;17.500;0.0923
-33.750;17.500;0.0930
-33.500;17.500;0.0934
-33.250;17.500;0.0917
-33.000;17.500;0.0883
-32.750;17.500;0.0511
-32.500;17.500;0.0393
-32.250;17.500;0.0321
-32.000;17.500;0.0303
-31.750;17.500;0.0307
-31.500;17.500;0.0322
-31.250;17.500;0.0312
-31.000;17.500;0.0300
-30.750;17.500;0.0304
-30.500;17.500;0.0331
-30.250;17.500;0.0406
-30.000;17.500;0.0477
-29.750;17.500;0.0503
-29.500;17.500;0.0510
-29.250;17.500;0.0467
-29.000;17.500;0.0397
-28.750;17.500;0.0367
-28.500;17.500;0.0351
-28.250;17.500;0.0307
-28.000;17.500;0.0296
-27.750;17.500;0.0271
-27.500;17.500;0.0234
-27.250;17.500;0.0207
-27.000;17.500;0.0201
-26.750;17.500;0.0177
-26.500;17.500;0.0150
-26.250;17.500;0.0134
-26.000;17.500;0.0126
-25.750;17.500;0.0130
-25.500;17.500;0.0146
-25.250;17.500;0.0169
-25.000;17.500;0.0195
-24.750;17.500;0.0455
-24.500;17.500;0.0386
-24.250;17.500;0.0305
-24.000;17.500;0.0335
-23.750;17.500;0.0259
-23.500;17.500;0.0236
-23.250;17.500;0.0256
-23.000;17.500;0.0248
-22.750;17.500;0.0189
-22.500;17.500;0.0178
-22.250;17.500;0.0165
-22.000;17.500;0.0160
-21.750;17.500;0.0135
-21.500;17.500;0.0085
-21.250;17.500;0.0001
-21.000;17.500;0.0001
-35.000;17.750;0.1082
-34.750;17.750;0.1087
-34.500;17.750;0.0995
-34.250;17.750;0.0919
-34.000;17.750;0.0957
-33.750;17.750;0.0995
-33.500;17.750;0.1038
-33.250;17.750;0.1041
-33.000;17.750;0.0979
-32.750;17.750;0.0730
-32.500;17.750;0.0424
-32.250;17.750;0.0361
-32.000;17.750;0.0309
-31.750;17.750;0.0316
-31.500;17.750;0.0314
-31.250;17.750;0.0307
-31.000;17.750;0.0302
-30.750;17.750;0.0324
-30.500;17.750;0.0370
-30.250;17.750;0.0411
-30.000;17.750;0.0514
-29.750;17.750;0.0537
-29.500;17.750;0.0540
-29.250;17.750;0.0504
-29.000;17.750;0.0400
-28.750;17.750;0.0378
-28.500;17.750;0.0351
-28.250;17.750;0.0313
-28.000;17.750;0.0290
-27.750;17.750;0.0265
-27.500;17.750;0.0229
-27.250;17.750;0.0210
-27.000;17.750;0.0195
-26.750;17.750;0.0179
-26.500;17.750;0.0146
-26.250;17.750;0.0125
-26.000;17.750;0.0110
-25.750;17.750;0.0110
-25.500;17.750;0.0110
-25.250;17.750;0.0123
-25.000;17.750;0.0144
-24.750;17.750;0.0188
-24.500;17.750;0.0258
-24.250;17.750;0.0775
-24.000;17.750;0.0374
-23.750;17.750;0.0294
-23.500;17.750;0.0306
-23.250;17.750;0.0217
-23.000;17.750;0.0199
-22.750;17.750;0.0192
-22.500;17.750;0.0182
-22.250;17.750;0.0183
-22.000;17.750;0.0171
-21.750;17.750;0.0153
-21.500;17.750;0.0110
-21.250;17.750;0.0015
-21.000;17.750;0.0001
-35.000;18.000;0.1082
-34.750;18.000;0.1050
-34.500;18.000;0.0914
-34.250;18.000;0.0979
-34.000;18.000;0.1080
-33.750;18.000;0.1137
-33.500;18.000;0.1150
-33.250;18.000;0.1167
-33.000;18.000;0.1162
-32.750;18.000;0.1051
-32.500;18.000;0.0734
-32.250;18.000;0.0446
-32.000;18.000;0.0374
-31.750;18.000;0.0340
-31.500;18.000;0.0329
-31.250;18.000;0.0310
-31.000;18.000;0.0315
-30.750;18.000;0.0364
-30.500;18.000;0.0383
-30.250;18.000;0.0408
-30.000;18.000;0.0461
-29.750;18.000;0.0567
-29.500;18.000;0.0589
-29.250;18.000;0.0563
-29.000;18.000;0.0469
-28.750;18.000;0.0398
-28.500;18.000;0.0377
-28.250;18.000;0.0328
-28.000;18.000;0.0295
-27.750;18.000;0.0265
-27.500;18.000;0.0253
-27.250;18.000;0.0223
-27.000;18.000;0.0204
-26.750;18.000;0.0187
