       Lat(y)	    Long(x)	   Modified Mercalli Intensity
       -25.500      27.550         6.1136
       -25.450      27.550         5.9354
       -25.400      27.550         5.7075
       -25.350      27.550         5.4160
       -25.300      27.550         5.0257
       -25.250      27.550         4.4855
       -25.200      27.550         3.6047
       -25.150      27.550         0.0100
       -25.100      27.550         0.0100
       -25.050      27.550         0.0100
       -25.000      27.550         0.0100
       -24.950      27.550         0.0100
       -24.900      27.550         0.0100
       -27.100      27.600         3.9281
       -27.050      27.600         4.5445
       -27.000      27.600         4.9190
       -26.950      27.600         5.2120
       -26.900      27.600         5.4824
       -26.850      27.600         5.9756
       -26.800      27.600         6.5926
       -26.750      27.600         7.0836
       -26.700      27.600         7.4276
       -26.650      27.600         7.6800
       -26.600      27.600         7.8670
       -26.550      27.600         7.9976
       -26.500      27.600         8.0808
       -26.450      27.600         8.1244
       -26.400      27.600         8.1305
       -26.350      27.600         8.1018
       -26.300      27.600         8.0373
       -26.250      27.600         7.9317
       -26.200      27.600         7.7750
       -26.150      27.600         7.5595
       -26.100      27.600         7.2769
       -26.050      27.600         6.9045
       -26.000      27.600         6.4351
       -25.950      27.600         6.1372
       -25.900      27.600         6.1037
       -25.850      27.600         6.1607
       -25.800      27.600         6.2430
       -25.750      27.600         6.3096
       -25.700      27.600         6.3384
       -25.650      27.600         6.3243
       -25.600      27.600         6.2727
       -25.550      27.600         6.1830
       -25.500      27.600         6.0491
       -25.450      27.600         5.8685
       -25.400      27.600         5.6295
       -25.350      27.600         5.3250
       -25.300      27.600         4.9193
       -25.250      27.600         4.3600
       -25.200      27.600         3.2866
       -25.150      27.600         0.0100
       -25.100      27.600         0.0100
       -25.050      27.600         0.0100
       -25.000      27.600         0.0100
       -24.950      27.600         0.0100
       -24.900      27.600         0.0100
       -27.100      27.650         4.3069
       -27.050      27.650         4.8290
       -27.000      27.650         5.1705
       -26.950      27.650         5.4266
       -26.900      27.650         5.6418
       -26.850      27.650         5.9951
       -26.800      27.650         6.4937
       -26.750      27.650         6.9616
       -26.700      27.650         7.3109
       -26.650      27.650         7.5708
       -26.600      27.650         7.7620
       -26.550      27.650         7.8961
       -26.500      27.650         7.9822
       -26.450      27.650         8.0286
       -26.400      27.650         8.0360
       -26.350      27.650         8.0068
       -26.300      27.650         7.9405
       -26.250      27.650         7.8329
       -26.200      27.650         7.6735
       -26.150      27.650         7.4579
       -26.100      27.650         7.1716
       -26.050      27.650         6.8062
       -26.000      27.650         6.3891
       -25.950      27.650         6.1359
       -25.900      27.650         6.0887
       -25.850      27.650         6.1187
       -25.800      27.650         6.1800
       -25.750      27.650         6.2414
       -25.700      27.650         6.2667
       -25.650      27.650         6.2532
       -25.600      27.650         6.1994
       -25.550      27.650         6.1072
       -25.500      27.650         5.9689
       -25.450      27.650         5.7827
       -25.400      27.650         5.5385
       -25.350      27.650         5.2204
       -25.300      27.650         4.8164
       -25.250      27.650         4.2667
       -25.200      27.650         2.8953
       -25.150      27.650         0.0100
       -25.100      27.650         0.0100
       -25.050      27.650         0.0100
       -25.000      27.650         0.0100
       -24.950      27.650         0.0100
       -24.900      27.650         0.0100
       -27.100      27.700         4.6038
       -27.050      27.700         5.0548
       -27.000      27.700         5.3558
       -26.950      27.700         5.5849
       -26.900      27.700         5.7708
       -26.850      27.700         6.0253
       -26.800      27.700         6.4120
       -26.750      27.700         6.8208
       -26.700      27.700         7.1613
       -26.650      27.700         7.4316
       -26.600      27.700         7.6286
       -26.550      27.700         7.7680
       -26.500      27.700         7.8569
       -26.450      27.700         7.9060
       -26.400      27.700         7.9147
       -26.350      27.700         7.8853
       -26.300      27.700         7.8181
       -26.250      27.700         7.7100
       -26.200      27.700         7.5504
       -26.150      27.700         7.3316
       -26.100      27.700         7.0466
       -26.050      27.700         6.6992
       -26.000      27.700         6.3293
       -25.950      27.700         6.1248
       -25.900      27.700         6.0478
       -25.850      27.700         6.0505
       -25.800      27.700         6.0981
       -25.750      27.700         6.1527
       -25.700      27.700         6.1743
       -25.650      27.700         6.1611
       -25.600      27.700         6.1069
       -25.550      27.700         6.0100
       -25.500      27.700         5.8685
       -25.450      27.700         5.6812
       -25.400      27.700         5.4362
       -25.350      27.700         5.1139
       -25.300      27.700         4.6862
       -25.250      27.700         4.1384
       -25.200      27.700         3.0031
       -25.150      27.700         0.0100
       -25.100      27.700         0.0100
       -25.050      27.700         0.0100
       -25.000      27.700         0.0100
       -24.950      27.700         0.0100
       -24.900      27.700         0.0100
       -27.100      27.750         4.8125
       -27.050      27.750         5.2207
       -27.000      27.750         5.4975
       -26.950      27.750         5.7115
       -26.900      27.750         5.8763
       -26.850      27.750         6.0547
       -26.800      27.750         6.3446
       -26.750      27.750         6.6769
       -26.700      27.750         6.9900
       -26.650      27.750         7.2600
       -26.600      27.750         7.4651
       -26.550      27.750         7.6106
       -26.500      27.750         7.7041
       -26.450      27.750         7.7548
       -26.400      27.750         7.7680
       -26.350      27.750         7.7408
       -26.300      27.750         7.6738
       -26.250      27.750         7.5659
       -26.200      27.750         7.4074
       -26.150      27.750         7.1943
       -26.100      27.750         6.9260
       -26.050      27.750         6.6096
       -26.000      27.750         6.3039
       -25.950      27.750         6.1018
       -25.900      27.750         5.9886
       -25.850      27.750         5.9600
       -25.800      27.750         5.9891
       -25.750      27.750         6.0412
       -25.700      27.750         6.0613
       -25.650      27.750         6.0458
       -25.600      27.750         5.9900
       -25.550      27.750         5.8927
       -25.500      27.750         5.7495
       -25.450      27.750         5.5584
       -25.400      27.750         5.3087
       -25.350      27.750         4.9800
       -25.300      27.750         4.5363
       -25.250      27.750         4.0059
       -25.200      27.750         2.7476
       -25.150      27.750         0.0100
       -25.100      27.750         0.0100
       -25.050      27.750         0.0100
       -25.000      27.750         0.0100
       -24.950      27.750         0.0100
       -24.900      27.750         0.0001
       -27.100      27.800         4.9641
       -27.050      27.800         5.3436
       -27.000      27.800         5.6096
       -26.950      27.800         5.8105
       -26.900      27.800         5.9610
       -26.850      27.800         6.0946
       -26.800      27.800         6.2976
       -26.750      27.800         6.5466
       -26.700      27.800         6.8155
       -26.650      27.800         7.0626
       -26.600      27.800         7.2679
       -26.550      27.800         7.4218
       -26.500      27.800         7.5229
       -26.450      27.800         7.5800
       -26.400      27.800         7.5983
       -26.350      27.800         7.5739
       -26.300      27.800         7.5131
       -26.250      27.800         7.4121
       -26.200      27.800         7.2636
       -26.150      27.800         7.0674
       -26.100      27.800         6.8205
       -26.050      27.800         6.5525
       -26.000      27.800         6.3031
       -25.950      27.800         6.0800
       -25.900      27.800         5.9155
       -25.850      27.800         5.8369
       -25.800      27.800         5.8476
       -25.750      27.800         5.8995
       -25.700      27.800         5.9210
       -25.650      27.800         5.9032
       -25.600      27.800         5.8455
       -25.550      27.800         5.7454
       -25.500      27.800         5.5976
       -25.450      27.800         5.4059
       -25.400      27.800         5.1552
       -25.350      27.800         4.8291
       -25.300      27.800         4.3976
       -25.250      27.800         3.7902
       -25.200      27.800         0.0100
       -25.150      27.800         0.0100
       -25.100      27.800         0.0100
       -25.050      27.800         0.0100
       -25.000      27.800         0.0100
       -24.950      27.800         0.0100
       -24.900      27.800         0.0001
       -27.100      27.850         5.0864
       -27.050      27.850         5.4365
       -27.000      27.850         5.6893
       -26.950      27.850         5.8790
       -26.900      27.850         6.0237
       -26.850      27.850         6.1344
       -26.800      27.850         6.2605
       -26.750      27.850         6.4431
       -26.700      27.850         6.6471
       -26.650      27.850         6.8567
       -26.600      27.850         7.0493
       -26.550      27.850         7.2032
       -26.500      27.850         7.3152
       -26.450      27.850         7.3829
       -26.400      27.850         7.4085
       -26.350      27.850         7.3970
       -26.300      27.850         7.3490
       -26.250      27.850         7.2611
       -26.200      27.850         7.1340
       -26.150      27.850         6.9624
       -26.100      27.850         6.7648
       -26.050      27.850         6.5489
       -26.000      27.850         6.3200
       -25.950      27.850         6.0800
       -25.900      27.850         5.8536
       -25.850      27.850         5.6921
       -25.800      27.850         5.6760
       -25.750      27.850         5.7200
       -25.700      27.850         5.7405
       -25.650      27.850         5.7259
       -25.600      27.850         5.6696
       -25.550      27.850         5.5676
       -25.500      27.850         5.4163
       -25.450      27.850         5.2264
       -25.400      27.850         4.9900
       -25.350      27.850         4.6704
       -25.300      27.850         4.2102
       -25.250      27.850         3.4683
       -25.200      27.850         0.0100
       -25.150      27.850         0.0100
       -25.100      27.850         0.0100
       -25.050      27.850         0.0100
       -25.000      27.850         0.0100
       -24.950      27.850         0.0001
       -24.900      27.850         0.0001
       -27.100      27.900         5.1522
       -27.050      27.900         5.4900
       -27.000      27.900         5.7353
       -26.950      27.900         5.9230
       -26.900      27.900         6.0638
       -26.850      27.900         6.1585
       -26.800      27.900         6.2424
       -26.750      27.900         6.3614
       -26.700      27.900         6.5051
       -26.650      27.900         6.6629
       -26.600      27.900         6.8265
       -26.550      27.900         6.9724
       -26.500      27.900         7.0914
       -26.450      27.900         7.1744
       -26.400      27.900         7.2177
       -26.350      27.900         7.2268
       -26.300      27.900         7.1993
       -26.250      27.900         7.1372
       -26.200      27.900         7.0448
       -26.150      27.900         6.9153
       -26.100      27.900         6.7618
       -26.050      27.900         6.5786
       -26.000      27.900         6.3589
       -25.950      27.900         6.1051
       -25.900      27.900         5.8252
       -25.850      27.900         5.5652
       -25.800      27.900         5.4700
       -25.750      27.900         5.4971
       -25.700      27.900         5.5191
       -25.650      27.900         5.5028
       -25.600      27.900         5.4545
       -25.550      27.900         5.3536
       -25.500      27.900         5.2018
       -25.450      27.900         5.0065
       -25.400      27.900         4.7760
       -25.350      27.900         4.4481
       -25.300      27.900         3.9155
       -25.250      27.900         3.0521
       -25.200      27.900         0.0100
       -25.150      27.900         0.0100
       -25.100      27.900         0.0100
       -25.050      27.900         0.0100
       -25.000      27.900         0.0100
       -24.950      27.900         0.0001
       -24.900      27.900         0.0001
       -27.100      27.950         5.1791
