ID;YEAR;MONTH;DAY;HOUR;MINUTE;SECOND;EVENT_VALIDITY;PRIMARY_MAGNITUDE;Lat(y);Long(x);REGION_CODE;MAXIMUM_WATER_HEIGHT;ABE;IIDA;SOLOVIEV
1490;1921;9;11;4;1;3;4;7.5;-11;111;60;0.1;;-;-2
325;1678;6;18;1;4;;3;8.4;-9;-79;89;;;2;2.5
845;1855;4;14;;;;3;;-9;121;60;;;;1
892;1859;10;20;;;;2;;-9;111;60;;;;1
1190;1891;10;5;;;;3;7;-9;124;60;;;;0.5
1468;1919;2;13;;;;2;;-9;124.85;60;;;;1.5
615;1815;11;22;;;;3;7;-8;115;60;;;1;1.5
715;1840;1;4;;;;2;7;-8;110.5;60;;;;0
870;1857;5;13;;;;4;7;-8;115.5;60;3.4;;1;2
1549;1925;1;8;;;;1;;-8;115;83;1;;;0
622;1818;11;8;;;;2;8.5;-7;117;60;3.5;;;2
635;1820;12;29;;;;4;7.5;-7;119;60;25;;4;3.5
1184;1889;11;23;;;;2;6;-7;113.5;60;;;;1
